family,category,source,license,path,latin_support,validation_status,failure_reason,usable,slug,catalog_category,metadata_category,metadata_url,source_url,license_url,license_path,subsets
Cabin,sans_serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/sans_serif/Cabin__Cabin[wdth,wght].ttf",True,passed,,True,cabin,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/cabin/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/cabin/Cabin%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/cabin/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Cabin__OFL.txt,"latin,latin-ext,menu,vietnamese"
Karla,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Karla__Karla[wght].ttf,True,passed,,True,karla,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/karla/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/karla/Karla%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/karla/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Karla__OFL.txt,"latin,latin-ext,menu"
Poppins,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Poppins__Poppins-Regular.ttf,True,passed,,True,poppins,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/poppins/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/poppins/Poppins-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/poppins/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Poppins__OFL.txt,"devanagari,latin,latin-ext,menu"
Manrope,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Manrope__Manrope[wght].ttf,True,passed,,True,manrope,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/manrope/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/manrope/Manrope%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/manrope/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Manrope__OFL.txt,"cyrillic,cyrillic-ext,greek,latin,latin-ext,menu,vietnamese"
Archivo,sans_serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/sans_serif/Archivo__Archivo[wdth,wght].ttf",True,passed,,True,archivo,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/archivo/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/archivo/Archivo%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/archivo/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Archivo__OFL.txt,"latin,latin-ext,menu,vietnamese"
Barlow,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Barlow__Barlow-Regular.ttf,True,passed,,True,barlow,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/barlow/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/barlow/Barlow-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/barlow/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Barlow__OFL.txt,"latin,latin-ext,menu,vietnamese"
Rubik,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Rubik__Rubik[wght].ttf,True,passed,,True,rubik,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/rubik/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/rubik/Rubik%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/rubik/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Rubik__OFL.txt,"arabic,cyrillic,cyrillic-ext,hebrew,latin,latin-ext,menu"
Mulish,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Mulish__Mulish[wght].ttf,True,passed,,True,mulish,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/mulish/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/mulish/Mulish%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/mulish/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Mulish__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Quicksand,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Quicksand__Quicksand[wght].ttf,True,passed,,True,quicksand,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/quicksand/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/quicksand/Quicksand%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/quicksand/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Quicksand__OFL.txt,"latin,latin-ext,menu,vietnamese"
DM Sans,sans_serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/sans_serif/DM_Sans__DMSans[opsz,wght].ttf",True,passed,,True,dmsans,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/dmsans/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/dmsans/DMSans%5Bopsz%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/dmsans/OFL.txt,data/raw/fonts/google_fonts/sans_serif/DM_Sans__OFL.txt,"latin,latin-ext,menu"
