left_image,right_image,hamming_distance,same_family,same_split,same_text
data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0090.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0035.png,1,False,True,True
data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0093.png,data/v2/processed/fontsense_v2/images/train/serif/Noto_Serif_Ahom/Noto_Serif_Ahom_0069.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Libre_Caslon_Text/Libre_Caslon_Text_0030.png,data/v2/processed/fontsense_v2/images/train/serif/Sanchez/Sanchez_0031.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Libre_Caslon_Text/Libre_Caslon_Text_0030.png,data/v2/processed/fontsense_v2/images/train/serif/IM_Fell_Great_Primer/IM_Fell_Great_Primer_0072.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Libre_Caslon_Text/Libre_Caslon_Text_0048.png,data/v2/processed/fontsense_v2/images/train/serif/Sanchez/Sanchez_0062.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0000.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0041.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0001.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0099.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0004.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0026.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0004.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0047.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0004.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0081.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0004.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0095.png,1,True,True,False
